82001189,Redução incruenta de fratura alvéolo dentária
82001197,Redução simples de luxação de Articulação Têmporo-mandibular (ATM)
82001251,Reimplante dentário com contenção
82001286,Remoção de dentes inclusos / impactados
82001294,Remoção de dentes semi-inclusos / impactados
82001308,Remoção de dreno extra-oral
82001316,Remoção de dreno intra-oral
82001367,Remoção de odontoma
82001499,Sutura de ferida em região buco-maxilo-facial
82001510,Tratamento cirúrgico das fístulas buco nasal
82001529,Tratamento cirúrgico das fístulas buco sinusal
82001545,Tratamento cirúrgico de bridas constritivas da região buco-maxilo-facial
82001553,Tratamento cirúrgico de hiperplasias de tecidos moles na região buco-maxilo-facial
82001588,Tratamento cirúrgico de hiperplasias de tecidos ósseos/cartilaginosos na região buco-maxilo-facial
82001596,Tratamento cirúrgico de tumores benignos de tecidos ósseos/cartilaginosos na região buco-maxilo-facial
82001618,Tratamento cirúrgico dos tumores benignos de tecidos moles na região buco-maxilo-facial
82001634,Tratamento Cirúrgico para tumores odontogênicos benignos – sem reconstrução
82001642,Tratamento conservador de luxação da articulação têmporo-mandibular - ATM
82001650,Tratamento de alveolite
82001685,Tunelização
82001707,Ulectomia
82001715,Ulotomia
82001731,Sem descrição
82001740,Sem descrição
82001758,Sem descrição
82001766,Sem descrição
83000020,Coroa de acetato em dente decíduo
83000046,Coroa de aço em dente decíduo
83000062,Coroa de policarbonato em dente decíduo
83000089,Exodontia simples de decíduo
83000127,Pulpotomia em dente decíduo
83000135,Restauração atraumática em dente decíduo
83000151,Tratamento endodôntico em dente decíduo
84000031,Aplicação de cariostático
84000058,Aplicação de selante - técnica invasiva
84000074,Aplicação de selante de fóssulas e fissuras
84000090,Aplicação tópica de flúor
84000112,Aplicação tópica de verniz fluoretado
84000139,Atividade educativa em saúde bucal
84000163,Controle de biofilme (placa bacteriana)
84000171,Controle de cárie incipiente
84000198,Profilaxia: polimento coronário
84000201,Remineralização
84000244,Teste de fluxo salivar
84000252,Teste de PH salivar
85000787,Imobilização dentária em dentes decíduos
85100013,Capeamento pulpar direto
85100048,Colagem de fragmentos dentários
85100056,Curativo de demora em endodontia
85100064,Faceta direta em resina fotopolimerizável
85100080,Restauração atraumática em dente permanente
85100099,Restauração de amálgama - 1 face
85100102,Restauração de amálgama - 2 faces
85100110,Restauração de amálgama - 3 faces
85100129,Restauração de amálgama - 4 faces
85100137,Restauração em ionômero de vidro - 1 face
85100145,Restauração em ionômero de vidro - 2 faces
85100153,Restauração em ionômero de vidro - 3 faces
85100161,Restauração em ionômero de vidro - 4 faces
85100196,Restauração em resina fotopolimerizável 1 face
85100200,Restauração em resina fotopolimerizável 2 faces
85100218,Restauração em resina fotopolimerizável 3 faces
85100226,Sem descrição
85100242,Sem descrição
85100269,Sem descrição
85200026,Preparo para núcleo intrarradicular
85200034,Pulpectomia
85200042,Pulpotomia
85200050,Remoção de corpo estranho intracanal
85200069,Remoção de material obturador intracanal para retratamento endodôntico
85200077,Remoção de núcleo intrarradicular
85200085,Restauração temporária / tratamento expectante
85200093,Retratamento endodôntico birradicular
85200107,Retratamento endodôntico multirradicular
85200115,Retratamento endodôntico unirradicular
85200123,Tratamento de perfuração endodôntica
85200131,Tratamento endodôndico de dente com rizogênese incompleta
85200140,Tratamento endodôntico birradicular
85200158,Tratamento endodôntico multirradicular
85200166,Tratamento endodôntico unirradicular
85200174,Sem descrição
85200182,Sem descrição
85300012,Dessensibilização dentária
85300020,Imobilização dentária em dentes permanentes
85300039,Raspagem sub-gengival/alisamento radicular
85300047,Raspagem supra-gengival
85300055,Remoção dos fatores de retenção do Biofilme Dental (Placa Bacteriana)
85300063,Tratamento de abscesso periodontal agudo
85300071,Tratamento de gengivite necrosante aguda - GNA
85300080,Tratamento de pericoronarite
85300098,Sem descrição
85400017,Ajuste Oclusal por acréscimo
85400025,Ajuste Oclusal por desgaste seletivo
85400076,Coroa provisória com pino
85400084,Coroa provisória sem pino
85400092,Coroa total acrílica prensada
85400114,Coroa total em cerômero
85400149,Coroa total metálica
85400211,Núcleo de preenchimento
85400220,Núcleo metálico fundido
85400262,Pino pré fabricado
85400459,Provisório para Restauração metálica fundida
85400467,Recimentação de trabalhos protéticos
85400475,Reembasamento de coroa provisória
85400505,Remoção de trabalho protético
85400556,Restauração metálica fundida
85400599,Sem descrição
87000016,Atividade educativa em odontologia para pais e/ou cuidadores de pacientes com necessidades especiais
87000024,Atividade educativa para pais e/ou cuidadores
87000032,Condicionamento em odontologia para pacientes com necessidades especiais
87000040,Coroa de acetato em dente permanente
87000059,Coroa de aço em dente permanente
87000067,Coroa de policarbonato em dente permanente
87000148,Estabilização por meio de contenção física e/ou mecânica em pacientes com necessidades especias em odontologia
98301144,Rest em amálgama 1 face em decíduos
98301152,Rest em resina 1 face em decíduos
98302140,Rest em amálgama 2 faces em decíduos
98302159,Rest em resina 2 faces em decíduos
98303147,Rest em amálgama 3 faces em decíduos
98303155,Rest em resina 3 faces em decíduos 
98304143,Rest em amálgama 4 faces ou mais em decíduos
98304151,Rest em resina 4 faces ou mais em decíduos
98265156,Restauração de superfície radicular
98113119,Consulta de avaliação de DTM
100013,Sem descrição
100039,Sem descrição
100047,Sem descrição
100065,Sem descrição
100090,Sem descrição
